,city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
79,3400567,extremoz,BR,-5.71,-35.31,1590173692,81.63,83,75,11.41
80,3520994,puerto escondido,MX,15.85,-97.07,1590173693,86.0,84,40,9.17
81,3398178,inhuma,BR,-6.67,-41.71,1590173693,84.87,62,1,4.83
82,6165406,thompson,CA,55.74,-97.86,1590173693,37.4,86,90,12.75
83,3374210,sao filipe,CV,14.9,-24.5,1590173693,75.99,69,0,8.63
84,1649150,bengkulu,ID,-3.8,102.27,1590173693,77.86,81,100,4.47
85,2638534,sandwick,GB,60.0,-1.25,1590173693,51.8,81,100,20.8
86,6111862,port hardy,CA,50.7,-127.42,1590173693,51.8,76,75,6.93
87,3397763,jacareacanga,BR,-6.22,-57.75,1590173693,91.4,59,40,3.36
88,5364271,laguna,US,38.42,-121.42,1590173538,70.23,40,1,14.99
89,6160362,swan river,CA,52.11,-101.27,1590173693,74.35,36,0,4.85
90,1519385,sergeyevka,KZ,53.88,67.42,1590173693,58.12,76,100,6.76
91,5880054,barrow,US,71.29,-156.79,1590173693,26.6,86,1,17.22
92,1634614,nabire,ID,-3.37,135.48,1590173693,76.59,89,100,4.7
93,2272491,zwedru,LR,6.07,-8.13,1590173693,75.67,96,100,3.96
94,6096551,pangnirtung,CA,66.15,-65.71,1590173694,30.2,74,40,12.75
95,986717,kruisfontein,ZA,-34.0,24.73,1590173694,57.25,93,18,5.37
96,2015833,svobodnyy,RU,51.4,128.13,1590173694,47.71,58,70,5.55
97,5866583,kodiak,US,57.79,-152.41,1590173466,50.0,76,90,8.05
98,3099759,elblag,PL,54.15,19.41,1590173694,52.0,52,1,3.74
99,3424607,tasiilaq,GL,65.61,-37.64,1590173694,39.2,80,90,20.8
100,2449893,tessalit,ML,20.2,1.01,1590173694,89.11,14,0,13.02
101,1492388,shatrovo,RU,56.52,64.63,1590173694,53.6,71,99,11.43
102,2450173,taoudenni,ML,22.68,-3.98,1590173607,94.8,10,0,11.97
103,2163355,hobart,AU,-42.88,147.33,1590173511,38.01,93,0,6.93
104,6201424,mataura,NZ,-46.19,168.86,1590173695,40.75,93,0,2.33
105,1015776,bredasdorp,ZA,-34.53,20.04,1590173695,59.0,62,0,8.05
106,2125693,evensk,RU,61.95,159.23,1590173537,39.33,70,68,8.79
107,1798827,pingdingshan,CN,33.74,113.3,1590173695,76.48,41,100,7.38
108,3405051,borba,BR,-4.39,-59.59,1590173526,88.65,64,97,1.81
109,2109528,buala,SB,-8.14,159.59,1590173695,81.41,82,100,8.41
110,3691582,talara,PE,-4.58,-81.27,1590173695,82.4,58,38,16.11
111,716905,nyirmeggyes,HU,47.92,22.27,1590173695,60.08,28,86,9.17
112,6690296,saint-joseph,RE,-21.37,55.62,1590173695,67.48,69,21,25.28
113,3901501,villazon,BO,-22.09,-65.59,1590173695,62.42,18,0,19.69
114,2629833,husavik,IS,66.04,-17.34,1590173695,46.4,75,75,23.04
115,2024626,dzhebariki-khaya,RU,62.22,135.8,1590173695,43.29,88,65,3.09
116,2022083,kirensk,RU,57.79,108.11,1590173695,50.09,60,0,3.18
117,2090021,namatanai,PG,-3.67,152.43,1590173696,79.86,82,61,1.7
118,6089245,norman wells,CA,65.28,-126.83,1590173696,53.6,50,40,12.75
119,3838874,rio cuarto,AR,-33.13,-64.35,1590173696,53.6,39,0,16.11
120,6255012,flinders,AU,-34.58,150.86,1590173696,56.43,75,55,8.01
121,556268,ostrovnoy,RU,68.05,39.51,1590173696,32.79,92,83,6.42
122,1503153,klyuchi,RU,52.27,79.17,1590173592,61.18,39,100,7.87
123,5983720,iqaluit,CA,63.75,-68.51,1590173696,32.0,88,20,17.22
124,1529484,hami,CN,42.8,93.45,1590173696,67.84,36,73,11.41
125,1274642,channagiri,IN,14.03,75.93,1590173696,76.46,65,0,13.56
126,2132606,samarai,PG,-10.62,150.67,1590173696,80.4,83,94,12.35
127,2146219,hervey bay,AU,-25.3,152.85,1590173615,54.0,73,100,4.0
128,1684245,tagusao,PH,9.19,117.81,1590173697,81.86,75,53,6.24
129,6167817,torbay,CA,47.67,-52.73,1590173697,58.73,54,40,28.86
130,3146487,raudeberg,NO,61.99,5.14,1590173697,55.27,81,75,23.04
131,4946620,palmer,US,42.16,-72.33,1590173697,80.01,34,20,8.05
132,3385899,tutoia,BR,-2.76,-42.27,1590173697,83.7,75,16,12.53
133,2059470,victor harbor,AU,-35.57,138.62,1590173697,55.99,90,86,4.0
134,899274,samfya,ZM,-11.36,29.56,1590173697,66.43,62,0,11.27
135,1513491,komsomolskiy,UZ,40.43,71.72,1590173697,68.4,48,0,2.24
136,935214,saint-pierre,RE,-21.34,55.48,1590173697,68.4,69,2,25.28
137,1819729,victoria,HK,22.29,114.16,1590173465,77.4,83,100,10.0
138,3443061,chuy,UY,-33.7,-53.46,1590173465,61.7,85,100,21.81
139,3420846,qaqortoq,GL,60.72,-46.03,1590173697,55.4,20,40,8.05
140,3430863,mar del plata,AR,-38.0,-57.56,1590173697,56.55,71,75,21.92
