,User,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
154,@CBS,Wishing my great-grandmother a happy 97th birthday today! Rita Bellino of Havertown is having a great day opening g… https://t.co/FqZiz7hZKE,Fri May 22 18:50:29 +0000 2020,0.8748,0.37,0.63,0.0,155
155,@CBS,@TheIzzyDiaz @RobGronkowski @broke @CBS Luis wore is better! He has a neck &amp; also wearing a shirt underneath.,Fri May 22 18:48:49 +0000 2020,0.1007,0.145,0.728,0.127,156
156,@CBS,@CBS Bring back Tommy,Fri May 22 18:48:30 +0000 2020,0.0,0.0,1.0,0.0,157
157,@CBS,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",Fri May 22 18:46:22 +0000 2020,0.4588,0.125,0.875,0.0,158
158,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS Trash. Ruined a perfect thing.,Fri May 22 18:45:35 +0000 2020,0.1531,0.268,0.507,0.225,159
159,@CBS,@FOXLA @MarlaTellez @RICKatFOX watching fox @CBS @NBCLA @KTLA @ABC7 all at once  (one network the anchor is laughin… https://t.co/BxDIN2wqyU,Fri May 22 18:44:34 +0000 2020,0.0,0.0,1.0,0.0,160
160,@CBS,"RT @kellyabcarian: Great day to celebrate with our beta clients @FoxTV, @WarnerGrp, @Discovery, @AMCTV @AENetworks, @NBCUniversal, @CBS, @U…",Fri May 22 18:41:19 +0000 2020,0.8316,0.328,0.672,0.0,161
161,@CBS,RT @BlackMa04831503: @cuddlycrow @RealJamesWoods @CBS @nbc @ABC @CNN @MSNBC @CBS_Herridge https://t.co/JUdz4jRdcY,Fri May 22 18:40:29 +0000 2020,0.0,0.0,1.0,0.0,162
162,@CBS,@Venuseswilliams @gameon @CBS @RobGronkowski @KeeganMKey @bobbyleelive @IanKarmel Come on Venus you got this.😍😄,Fri May 22 18:38:46 +0000 2020,0.8402,0.321,0.679,0.0,163
163,@CBS,@CBSNews @johnkrasinski @somegoodnews @CBS CBS will ruin it.,Fri May 22 18:32:46 +0000 2020,-0.5859,0.0,0.648,0.352,164
164,@CBS,RT @benwinston: Excited for this. #louisoncorden @Louis_Tomlinson tonight on @CBS https://t.co/uwqKUjvN4Y,Fri May 22 18:28:05 +0000 2020,0.34,0.194,0.806,0.0,165
